example_id,slice,prompt_variant,gt_answer,seed0_answer,seed1_answer,seed2_answer,seed0_correct,seed1_correct,seed2_correct,n_correct,seed01_agree,seed02_agree,seed12_agree,seed_variance,avg_trace_chars,max_trace_chars,avg_marker_count,any_truncated,judge_failures
2VYZeOa6804_clip_4,ACH_BQA,A_plain,No,Yes,Yes,Yes,False,False,False,0,True,True,True,0,5029.3,11739,4.0,0,0
2VYZeOa6804_clip_4,ACH_BQA,B_cited,No,Yes,Yes,Yes,False,False,False,0,True,True,True,0,3912.7,8828,2.33,0,0
Hev5Vj0Jjuk_clip_3,ACH_BQA,A_plain,Yes,Yes,Yes,Yes,True,True,True,3,True,True,True,0,1042.3,1532,0.0,0,0
Hev5Vj0Jjuk_clip_3,ACH_BQA,B_cited,Yes,Yes,Yes,Yes,True,True,True,3,True,True,True,0,1081.7,1129,0.0,0,0
i_Fs0Qrtu90_clip_8,ACH_BQA,A_plain,Yes,Yes,Yes,Yes,True,True,True,3,True,True,True,0,1174.0,1307,0.0,0,0
i_Fs0Qrtu90_clip_8,ACH_BQA,B_cited,Yes,Yes,Yes,Yes,True,True,True,3,True,True,True,0,1162.3,1301,0.0,0,0
2DvHUEFc5VA_clip_1,ACH_MCQ,A_plain,C,C,C,C,True,True,True,3,True,True,True,0,3977.3,7544,4.67,0,0
2DvHUEFc5VA_clip_1,ACH_MCQ,B_cited,C,C,C,C,True,True,True,3,True,True,True,0,1712.7,1908,1.33,0,0
QVe7NojAHjY_clip_9,ACH_MCQ,A_plain,A,A,A,A,True,True,True,3,True,True,True,0,1125.7,1254,0.0,0,0
QVe7NojAHjY_clip_9,ACH_MCQ,B_cited,A,A,A,A,True,True,True,3,True,True,True,0,1116.0,1251,0.0,0,0
TDWbRqIEcts_clip_11,ACH_MCQ,A_plain,C,C,C,C,True,True,True,3,True,True,True,0,1272.0,1399,0.0,0,0
TDWbRqIEcts_clip_11,ACH_MCQ,B_cited,C,C,C,C,True,True,True,3,True,True,True,0,1259.3,1347,0.0,0,0
YjxjsP6A5H8_clip_1,ACH_MCQ,A_plain,B,B,B,B,True,True,True,3,True,True,True,0,1383.3,1485,0.0,0,0
YjxjsP6A5H8_clip_1,ACH_MCQ,B_cited,B,B,B,B,True,True,True,3,True,True,True,0,1462.3,1679,0.0,0,0
0yT6ihPVX54_YY8r5R_scho,STH,A_plain,"Scene change: Yes, Locations: from on a stage to in a room","Scene change: Yes, Locations: from a stage to a room.","Scene change: Yes, Locations: from a stage to a room.","Scene change: Yes, Locations: from a stage to a room.",True,True,True,3,True,True,True,0,2271.0,3073,1.0,0,0
0yT6ihPVX54_YY8r5R_scho,STH,B_cited,"Scene change: Yes, Locations: from on a stage to in a room","Scene change: Yes, Locations: from a stage to a room.","Scene change: Yes, Locations: from a stage performance to a room with a fan.","Scene change: Yes, Locations: from a stage to a room with a fan.",True,True,True,3,True,True,True,0,1959.7,2098,0.67,0,0
