example_id,slice,prompt_variant,gt_answer,seed0_answer,seed1_answer,seed2_answer,seed_variance,n_correct,avg_trace_chars,max_trace_chars,avg_marker_count,any_truncated
2VYZeOa6804_clip_4,ACH_BQA,A_plain,No,yes,yes,yes,0,0,5029.3,11739,4.0,0
2VYZeOa6804_clip_4,ACH_BQA,B_cited,No,yes,yes,yes,0,0,3912.7,8828,2.33,0
Hev5Vj0Jjuk_clip_3,ACH_BQA,A_plain,Yes,yes,yes,yes,0,3,1042.3,1532,0.0,0
Hev5Vj0Jjuk_clip_3,ACH_BQA,B_cited,Yes,yes,yes,yes,0,3,1081.7,1129,0.0,0
i_Fs0Qrtu90_clip_8,ACH_BQA,A_plain,Yes,yes,yes,yes,0,3,1174.0,1307,0.0,0
i_Fs0Qrtu90_clip_8,ACH_BQA,B_cited,Yes,yes,yes,yes,0,3,1162.3,1301,0.0,0
2DvHUEFc5VA_clip_1,ACH_MCQ,A_plain,C,c,c,c,0,3,3977.3,7544,4.67,0
2DvHUEFc5VA_clip_1,ACH_MCQ,B_cited,C,c,c,c,0,3,1712.7,1908,1.33,0
QVe7NojAHjY_clip_9,ACH_MCQ,A_plain,A,a,a,a,0,3,1125.7,1254,0.0,0
QVe7NojAHjY_clip_9,ACH_MCQ,B_cited,A,a,a,a,0,3,1116.0,1251,0.0,0
TDWbRqIEcts_clip_11,ACH_MCQ,A_plain,C,c,c,c,0,3,1272.0,1399,0.0,0
TDWbRqIEcts_clip_11,ACH_MCQ,B_cited,C,c,c,c,0,3,1259.3,1347,0.0,0
YjxjsP6A5H8_clip_1,ACH_MCQ,A_plain,B,b,b,b,0,3,1383.3,1485,0.0,0
YjxjsP6A5H8_clip_1,ACH_MCQ,B_cited,B,b,b,b,0,3,1462.3,1679,0.0,0
0yT6ihPVX54_YY8r5R_scho,STH,A_plain,"Scene change: Yes, Locations: from on a stage to in a room","scene change: yes, locations: from a stage to a room.","scene change: yes, locations: from a stage to a room.","scene change: yes, locations: from a stage to a room.",0,0,2271.0,3073,1.0,0
0yT6ihPVX54_YY8r5R_scho,STH,B_cited,"Scene change: Yes, Locations: from on a stage to in a room","scene change: yes, locations: from a stage to a room.","scene change: yes, locations: from a stage performance to a room with a fan.","scene change: yes, locations: from a stage to a room with a fan.",1,0,1959.7,2098,0.67,0
4GGUH7ykdCg_TYFkiyNIDWU,STH,A_plain,"Scene change: Yes, Locations: from on the grass to on the water","scene change: yes, locations: from a grassy field to a lake.","scene change: yes, locations: from a grassy field to a pond.","scene change: yes, locations: from a grassy area to a lake.",1,0,1622.7,2119,0.33,0
4GGUH7ykdCg_TYFkiyNIDWU,STH,B_cited,"Scene change: Yes, Locations: from on the grass to on the water","scene change: yes, locations: from a grassy area to a body of water.","scene change: yes, locations: from a grassy field to a lake.","scene change: yes, locations: from a grassy field to a pond.",1,0,1159.3,1192,0.0,0
56oHsMiQ8QY_v8WXRJNOt5w,STH,A_plain,"Scene change: Yes, Locations: from in the grass to in a house","scene change: yes, locations: from outdoors to indoors.","scene change: yes, locations: from outdoors to indoors.","scene change: yes, locations: from a grassy backyard to an indoor room.",1,0,1453.0,1776,0.0,0
56oHsMiQ8QY_v8WXRJNOt5w,STH,B_cited,"Scene change: Yes, Locations: from in the grass to in a house","scene change: yes, locations: from outdoors to indoors.","scene change: yes, locations: from outdoors to indoors.","scene change: yes, locations: from outdoors to indoors.",0,0,1259.3,1420,0.0,0
5WXA1R5jCvs_5akzQ9B7na8,STH,A_plain,"Scene change: Yes, Locations: from on a bus to inside a house","scene change: yes, locations: from bus to house.","scene change: yes, locations: from a bus to a living room.","scene change: yes, locations: from a bus to a house.",1,0,1342.7,1482,0.0,0
5WXA1R5jCvs_5akzQ9B7na8,STH,B_cited,"Scene change: Yes, Locations: from on a bus to inside a house","scene change: yes, locations: from a bus to a living room.","scene change: yes, locations: from bus to house.","scene change: yes, locations: from bus to living room.",1,0,1318.7,1412,0.0,0
fSY-uG_uayI_clip_1_6,STH,A_plain,"Scene change: No, Locations: None","scene change: yes, locations: from a kitchen counter to a stove.","scene change: yes, locations: from kitchen counter to stovetop.","scene change: yes, locations: from a kitchen counter to a stove.",1,0,3221.7,5927,2.0,0
fSY-uG_uayI_clip_1_6,STH,B_cited,"Scene change: No, Locations: None","scene change: yes, locations: from a kitchen counter to a stove.","scene change: yes, locations: from kitchen counter to stovetop.","scene change: yes, locations: from kitchen counter to stove.",1,0,2113.3,3261,0.67,0
